left,right,left_group,right_group,cramers_v
gamePlayerOtherId,spinId,identifier,stroke_state,0.23214040597766233
gamePlayerOtherId,handId,identifier,stroke_state,0.22942362194337826
handId,pointId,stroke_state,stroke_state,0.22098428588861138
handId,spinId,stroke_state,stroke_state,0.22084039981427667
strengthId,spinId,stroke_state,stroke_state,0.22023763823045078
numberGame,gamePlayerId,context,identifier,0.21165491291663566
numberGame,gamePlayerOtherId,context,identifier,0.21134846862978085
match,pointId,identifier,stroke_state,0.20793230893071973
handId,positionId,stroke_state,stroke_state,0.1984451677675009
match,handId,identifier,stroke_state,0.19648411058342274
pointId,positionId,stroke_state,stroke_state,0.1915643774478675
sex,strikeNumber,context,temporal,0.1899111495745762
strikeNumber,pointId,temporal,stroke_state,0.17931237278559284
gamePlayerId,pointId,identifier,stroke_state,0.17663501934383835
gamePlayerOtherId,pointId,identifier,stroke_state,0.17542148170237556
match,strikeId,identifier,stroke_state,0.16831939104331367
sex,spinId,context,stroke_state,0.15781807567614894
strikeId,strengthId,stroke_state,stroke_state,0.15584317695739977
match,serverGetPoint,identifier,stroke_state,0.15039289397215544
sex,strengthId,context,stroke_state,0.14944978597551017
sex,positionId,context,stroke_state,0.14701554852816162
gamePlayerId,strikeId,identifier,stroke_state,0.1392651977974727
gamePlayerOtherId,strikeId,identifier,stroke_state,0.13915103752351035
strikeNumber,strengthId,temporal,stroke_state,0.13891969293812154
sex,pointId,context,stroke_state,0.13604634776763463
strikeNumber,serverGetPoint,temporal,stroke_state,0.12542666252820103
match,scoreOther,identifier,context,0.12427457921407178
strengthId,positionId,stroke_state,stroke_state,0.1172218999099011
match,scoreSelf,identifier,context,0.11424294507370077
match,rally_id,identifier,identifier,0.1108354245352411
scoreOther,gamePlayerOtherId,context,identifier,0.109392764010709
scoreOther,gamePlayerId,context,identifier,0.10383263690675147
sex,strikeId,context,stroke_state,0.1025338263039498
scoreSelf,gamePlayerId,context,identifier,0.10086854648105452
scoreSelf,gamePlayerOtherId,context,identifier,0.09459979310670574
handId,strengthId,stroke_state,stroke_state,0.09295520643134317
serverGetPoint,gamePlayerId,stroke_state,identifier,0.09178996394924634
serverGetPoint,gamePlayerOtherId,stroke_state,identifier,0.091049781169136
match,strikeNumber,identifier,temporal,0.07752136408667719
rally_id,gamePlayerId,identifier,identifier,0.07006274408816925
rally_id,gamePlayerOtherId,identifier,identifier,0.06973993588943603
sex,numberGame,context,context,0.06876085872359784
strikeNumber,gamePlayerOtherId,temporal,identifier,0.06652849848296737
strikeNumber,gamePlayerId,temporal,identifier,0.06630250203769132
sex,handId,context,stroke_state,0.06075019084693987
rally_id,serverGetPoint,identifier,stroke_state,0.059723165717265186
numberGame,positionId,context,stroke_state,0.054580080670192724
numberGame,actionId,context,stroke_state,0.05426914266295747
numberGame,rally_id,context,identifier,0.04887344076203854
serverGetPoint,actionId,stroke_state,stroke_state,0.04266291737840936
numberGame,strikeNumber,context,temporal,0.04190044812347066
serverGetPoint,strikeId,stroke_state,stroke_state,0.04134852704378122
scoreSelf,serverGetPoint,context,stroke_state,0.038942854875604435
numberGame,scoreOther,context,context,0.03725708145122533
numberGame,scoreSelf,context,context,0.03603737380414074
scoreOther,serverGetPoint,context,stroke_state,0.03546695337722518
sex,scoreOther,context,context,0.03488816782740611
sex,rally_id,context,identifier,0.034832556445937767
sex,scoreSelf,context,context,0.03261074400751352
numberGame,spinId,context,stroke_state,0.03257151290096633
serverGetPoint,pointId,stroke_state,stroke_state,0.0322605437944762
numberGame,strikeId,context,stroke_state,0.03045732932288874
rally_id,spinId,identifier,stroke_state,0.027712358787598566
rally_id,handId,identifier,stroke_state,0.02761136689278228
rally_id,actionId,identifier,stroke_state,0.026916114600955048
numberGame,pointId,context,stroke_state,0.02672295436039264
rally_id,strikeNumber,identifier,temporal,0.02639209943500633
strikeNumber,scoreSelf,temporal,context,0.025614290346009413
strikeNumber,scoreOther,temporal,context,0.02525941509102579
rally_id,pointId,identifier,stroke_state,0.02508392597223834
serverGetPoint,handId,stroke_state,stroke_state,0.02506578984056976
numberGame,strengthId,context,stroke_state,0.024506275680746627
scoreSelf,strikeId,context,stroke_state,0.02442210051138909
scoreOther,strikeId,context,stroke_state,0.023811974505078385
scoreOther,actionId,context,stroke_state,0.023301647539837263
scoreSelf,actionId,context,stroke_state,0.02278585870663695
scoreSelf,handId,context,stroke_state,0.022751279338864214
scoreOther,spinId,context,stroke_state,0.02274607276538346
sex,serverGetPoint,context,stroke_state,0.022232690350327752
rally_id,strengthId,identifier,stroke_state,0.021843150012902764
serverGetPoint,strengthId,stroke_state,stroke_state,0.021151035162062324
numberGame,serverGetPoint,context,stroke_state,0.021118266812036157
rally_id,positionId,identifier,stroke_state,0.019644389157969167
scoreSelf,pointId,context,stroke_state,0.019487465646178107
scoreOther,positionId,context,stroke_state,0.018727588617358647
scoreSelf,spinId,context,stroke_state,0.0186109445686557
scoreOther,pointId,context,stroke_state,0.018006211766216564
rally_id,strikeId,identifier,stroke_state,0.0179918548783002
scoreOther,handId,context,stroke_state,0.017940926286448177
scoreSelf,strengthId,context,stroke_state,0.01738619106145571
scoreSelf,positionId,context,stroke_state,0.01661592166125536
serverGetPoint,spinId,stroke_state,stroke_state,0.01626863910165353
scoreOther,strengthId,context,stroke_state,0.015537578989662602
numberGame,handId,context,stroke_state,0.015157883621218395
serverGetPoint,positionId,stroke_state,stroke_state,0.012415433591686339
