rally_uid,sex,match,numberGame,rally_id,strikeNumber,scoreSelf,scoreOther,serverGetPoint,gamePlayerId,gamePlayerOtherId,strikeId,handId,strengthId,spinId,pointId,actionId,positionId,prev_actionId,next_actionId,prev_pointId,next_pointId,prev_spinId,next_spinId,prev_positionId,next_positionId,prev_handId,next_handId,prev_strengthId,next_strengthId,prev_strikeId,next_strikeId,has_next,target_serverGetPoint,score_diff,score_total,lead_state,is_close_score,is_deuce_like,is_game_point_self,is_game_point_other,strike_parity,serve_receive_phase,stage_bucket,action_group,action_spin_combo,action_point_combo,hand_action_combo,action_bigram,spin_bigram,action_changed,point_changed,spin_changed,position_changed,hand_changed,prefix_attack_count,prefix_control_count,prefix_defense_count,prefix_serve_count,prefix_unique_action_count,same_action_run_len,same_action_run_bucket
31,2,1,2,11,13,3,7,0,1,2,4,2,2,3,0,6,0,5,,8,,1,,0,,1,,2,,4,,False,0,-4,10,-1,0,0,0,0,1,rally,9plus_late,Attack,6|3,6|0,2|6,5->6,1->3,1,1,1,0,1,3,8,1,1,6,1,1
32,2,1,2,12,14,8,3,1,2,1,4,2,2,2,0,13,0,3,,9,,2,,0,,1,,2,,4,,False,1,5,11,1,0,0,0,0,0,rally,9plus_late,Defense,13|2,13|0,2|13,3->13,2->2,1,1,0,0,1,1,10,2,1,5,1,1
33,2,1,2,13,6,4,8,1,1,2,4,2,2,2,0,10,0,10,,6,,2,,0,,2,,1,,4,,False,1,-4,12,-1,0,0,0,0,0,rally,5_8_mid,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,0,0,0,5,0,1,2,5,4plus
34,2,1,2,14,10,4,9,1,1,2,4,1,2,3,0,5,0,10,,7,,2,,0,,2,,1,,4,,False,1,-5,13,-1,0,0,0,0,0,rally,9plus_late,Attack,5|3,5|0,1|5,10->5,2->3,1,1,1,0,1,1,8,0,1,3,1,1
35,2,1,2,15,13,4,10,0,1,2,4,2,2,3,0,13,0,5,,9,,3,,0,,1,,2,,4,,False,0,-6,14,-1,0,0,0,1,1,rally,9plus_late,Defense,13|3,13|0,2|13,5->13,3->3,1,1,0,0,1,2,8,2,1,6,1,1
36,2,1,3,1,5,0,0,0,1,2,4,2,2,3,0,6,0,10,,5,,2,,0,,2,,1,,4,,False,0,0,0,0,1,0,0,0,1,rally,5_8_mid,Attack,6|3,6|0,2|6,10->6,2->3,1,1,1,0,0,1,3,0,1,3,1,1
37,2,1,3,2,7,0,1,0,1,2,4,1,2,2,0,3,0,10,,7,,4,,0,,2,,1,,4,,False,0,-1,1,-1,1,0,0,0,1,rally,5_8_mid,Attack,3|2,3|0,1|3,10->3,4->2,1,1,1,0,1,1,4,1,1,4,1,1
38,2,1,3,3,2,0,2,1,1,2,2,2,2,3,0,6,1,15,,9,,2,,1,,2,,2,,1,,False,1,-2,2,-1,0,0,0,0,0,receive,2_receive,Attack,6|3,6|0,2|6,15->6,2->3,1,1,1,0,0,1,0,0,1,2,1,1
39,2,1,3,4,3,3,0,0,2,1,4,2,0,0,0,12,0,10,,6,,2,,1,,2,,2,,2,,False,0,3,3,1,0,0,0,0,1,rally,3_4_early,Defense,12|0,12|0,2|12,10->12,2->0,1,1,1,1,0,0,1,1,1,3,1,1
40,2,1,3,5,3,1,3,0,1,2,4,1,1,1,0,1,0,10,,4,,2,,2,,1,,3,,2,,False,0,-2,4,-1,0,0,0,0,1,rally,3_4_early,Attack,1|1,1|0,1|1,10->1,2->1,1,1,1,1,0,1,1,0,1,3,1,1
41,2,1,3,6,5,1,4,0,1,2,4,2,2,1,0,1,0,10,,8,,2,,0,,2,,1,,4,,False,0,-3,5,-1,0,0,0,0,1,rally,5_8_mid,Attack,1|1,1|0,2|1,10->1,2->1,1,1,1,0,0,1,2,1,1,4,1,1
42,2,1,3,7,22,1,5,1,1,2,4,2,2,3,0,13,0,3,,8,,3,,0,,1,,3,,4,,False,1,-4,6,-1,0,0,0,0,0,rally,9plus_late,Defense,13|3,13|0,2|13,3->13,3->3,1,1,0,0,1,4,14,3,1,6,1,1
43,2,1,3,8,10,1,6,1,1,2,4,1,3,2,0,3,0,10,,4,,2,,0,,2,,1,,4,,False,1,-5,7,-1,0,0,0,0,0,rally,9plus_late,Attack,3|2,3|0,1|3,10->3,2->2,1,1,0,0,1,1,8,0,1,3,1,1
44,2,1,3,9,13,1,7,0,1,2,4,1,2,2,0,3,0,10,,4,,4,,0,,2,,1,,4,,False,0,-6,8,-1,0,0,0,0,1,rally,9plus_late,Attack,3|2,3|0,1|3,10->3,4->2,1,1,1,0,1,1,10,1,1,4,1,1
45,2,1,3,10,5,1,8,0,1,2,4,2,1,2,0,10,0,10,,5,,5,,0,,2,,1,,4,,False,0,-7,9,-1,0,0,0,0,1,rally,5_8_mid,Control,10|2,10|0,2|10,10->10,5->2,0,1,1,0,0,0,3,1,1,3,3,3
46,2,1,3,11,6,1,9,1,1,2,4,1,1,3,0,5,0,3,,7,,3,,0,,1,,3,,4,,False,1,-8,10,-1,0,0,0,0,0,rally,5_8_mid,Attack,5|3,5|0,1|5,3->5,3->3,1,1,0,0,0,4,1,0,1,4,1,1
47,2,1,3,12,16,1,10,1,1,2,4,0,0,0,0,0,0,3,,6,,3,,0,,1,,2,,4,,False,1,-9,11,-1,0,0,0,1,0,rally,9plus_late,Zero,0|0,0|0,0|0,3->0,3->0,1,1,1,0,1,1,13,0,1,4,1,1
48,1,2,1,1,4,0,0,1,4,3,4,2,1,3,0,12,0,3,,9,,3,,0,,1,,3,,4,,False,1,0,0,0,1,0,0,0,0,rally,3_4_early,Defense,12|3,12|0,2|12,3->12,3->3,1,1,0,0,1,1,0,2,1,3,1,1
49,1,2,1,2,2,0,1,1,4,3,2,2,1,3,0,12,2,15,,8,,5,,1,,1,,2,,1,,False,1,-1,1,-1,1,0,0,0,0,receive,2_receive,Defense,12|3,12|0,2|12,15->12,5->3,1,1,1,1,1,0,0,1,1,2,1,1
50,1,2,1,3,6,2,0,1,3,4,4,1,3,1,0,1,0,12,,8,,2,,0,,2,,1,,4,,False,1,2,2,1,0,0,0,0,0,rally,5_8_mid,Attack,1|1,1|0,1|1,12->1,2->1,1,1,1,0,1,2,1,2,1,5,1,1
51,1,2,1,4,4,2,1,1,3,4,4,1,1,3,0,13,0,1,,7,,1,,0,,1,,3,,4,,False,1,1,3,1,1,0,0,0,0,rally,3_4_early,Defense,13|3,13|0,1|13,1->13,1->3,1,1,1,0,0,1,1,1,1,4,1,1
52,1,2,1,5,2,2,2,1,4,3,2,1,3,1,0,1,3,15,,8,,4,,1,,1,,2,,1,,False,1,0,4,0,1,0,0,0,0,receive,2_receive,Attack,1|1,1|0,1|1,15->1,4->1,1,1,1,1,0,1,0,0,1,2,1,1
53,1,2,1,6,2,2,3,1,4,3,2,1,3,1,0,1,3,15,,7,,5,,1,,1,,2,,1,,False,1,-1,5,-1,1,0,0,0,0,receive,2_receive,Attack,1|1,1|0,1|1,15->1,5->1,1,1,1,1,0,1,0,0,1,2,1,1
54,1,2,1,7,3,2,4,0,4,3,4,2,2,2,0,12,0,1,,9,,1,,1,,1,,3,,2,,False,0,-2,6,-1,0,0,0,0,1,rally,3_4_early,Defense,12|2,12|0,2|12,1->12,1->2,1,1,1,1,1,1,0,1,1,3,1,1
55,1,2,1,8,4,5,2,1,3,4,4,2,2,3,0,13,0,1,,9,,1,,0,,1,,3,,4,,False,1,3,7,1,0,0,0,0,0,rally,3_4_early,Defense,13|3,13|0,2|13,1->13,1->3,1,1,1,0,1,1,1,1,1,4,1,1
56,1,2,1,9,4,3,5,1,4,3,4,1,1,3,0,13,0,1,,7,,1,,0,,1,,3,,4,,False,1,-2,8,-1,0,0,0,0,0,rally,3_4_early,Defense,13|3,13|0,1|13,1->13,1->3,1,1,1,0,0,1,0,2,1,4,1,1
57,1,2,1,11,3,4,6,0,4,3,4,1,2,2,0,12,0,1,,7,,1,,1,,1,,2,,2,,False,0,-2,10,-1,0,0,0,0,1,rally,3_4_early,Defense,12|2,12|0,1|12,1->12,1->2,1,1,1,1,0,1,0,1,1,3,1,1
58,1,2,1,12,4,7,4,1,3,4,4,2,1,3,0,13,0,1,,9,,1,,0,,1,,3,,4,,False,1,3,11,1,0,0,0,0,0,rally,3_4_early,Defense,13|3,13|0,2|13,1->13,1->3,1,1,1,0,1,1,1,1,1,4,1,1
59,1,2,1,13,3,7,5,0,3,4,4,1,3,1,0,1,0,12,,9,,3,,2,,1,,1,,2,,False,0,2,12,1,0,0,0,0,1,rally,3_4_early,Attack,1|1,1|0,1|1,12->1,3->1,1,1,1,1,0,1,0,1,1,3,1,1
60,1,2,1,14,2,6,7,1,4,3,2,1,1,1,0,1,2,15,,4,,3,,1,,1,,2,,1,,False,1,-1,13,-1,1,0,0,0,0,receive,2_receive,Attack,1|1,1|0,1|1,15->1,3->1,1,1,1,1,0,1,0,0,1,2,1,1
61,1,2,1,15,4,8,6,1,3,4,4,2,2,3,0,13,0,1,,9,,1,,0,,1,,3,,4,,False,1,2,14,1,0,0,0,0,0,rally,3_4_early,Defense,13|3,13|0,2|13,1->13,1->3,1,1,1,0,1,2,0,1,1,4,1,1
62,1,2,1,16,4,8,7,1,3,4,4,1,1,3,0,13,0,1,,7,,1,,0,,1,,3,,4,,False,1,1,15,1,1,0,0,0,0,rally,3_4_early,Defense,13|3,13|0,1|13,1->13,1->3,1,1,1,0,0,1,1,1,1,4,1,1
63,1,2,1,17,9,8,8,0,3,4,4,1,3,3,0,3,0,14,,7,,3,,0,,2,,1,,4,,False,0,0,16,0,1,0,0,0,1,rally,9plus_late,Attack,3|3,3|0,1|3,14->3,3->3,1,1,0,0,1,5,0,3,1,7,1,1
64,1,2,1,18,3,8,9,0,3,4,4,1,3,1,0,1,0,10,,9,,2,,2,,1,,1,,2,,False,0,-1,17,-1,1,0,0,0,1,rally,3_4_early,Attack,1|1,1|0,1|1,10->1,2->1,1,1,1,1,0,1,1,0,1,3,1,1
65,1,2,1,19,5,10,8,0,4,3,4,1,0,0,0,0,0,3,,7,,3,,0,,1,,3,,4,,False,0,2,18,1,0,0,1,0,1,rally,5_8_mid,Zero,0|0,0|0,1|0,3->0,3->0,1,1,1,0,0,2,0,1,1,5,1,1
66,1,2,1,20,2,9,10,1,3,4,2,1,3,1,0,1,1,15,,8,,4,,3,,1,,3,,1,,False,1,-1,19,-1,1,0,0,1,0,receive,2_receive,Attack,1|1,1|0,1|1,15->1,4->1,1,1,1,1,0,1,0,0,1,2,1,1
67,1,2,2,1,3,0,0,0,4,3,4,2,1,2,0,9,0,7,,9,,1,,1,,1,,2,,2,,False,0,0,0,0,1,0,0,0,1,rally,3_4_early,Control,9|2,9|0,2|9,7->9,1->2,1,1,1,1,1,1,1,0,1,3,1,1
68,1,2,2,2,5,0,1,0,4,3,4,1,3,1,0,1,0,13,,7,,3,,0,,2,,2,,4,,False,0,-1,1,-1,1,0,0,0,1,rally,5_8_mid,Attack,1|1,1|0,1|1,13->1,3->1,1,1,1,0,1,2,1,1,1,4,1,1
69,1,2,2,3,2,0,2,1,4,3,2,2,1,3,0,12,2,15,,8,,5,,1,,1,,2,,1,,False,1,-2,2,-1,0,0,0,0,0,receive,2_receive,Defense,12|3,12|0,2|12,15->12,5->3,1,1,1,1,1,0,0,1,1,2,1,1
70,1,2,2,4,5,3,0,0,3,4,4,2,1,2,0,11,0,12,,8,,2,,0,,2,,1,,4,,False,0,3,3,1,0,0,0,0,1,rally,5_8_mid,Control,11|2,11|0,2|11,12->11,2->2,1,1,0,0,0,1,2,1,1,5,1,1
71,1,2,2,5,4,3,1,1,3,4,4,2,1,3,0,13,0,1,,0,,1,,0,,1,,1,,4,,False,1,2,4,1,0,0,0,0,0,rally,3_4_early,Defense,13|3,13|0,2|13,1->13,1->3,1,0,1,0,1,1,1,1,1,4,1,1
72,1,2,2,6,4,3,2,1,3,4,4,0,0,0,0,0,0,6,,7,,1,,0,,2,,3,,4,,False,1,1,5,1,1,0,0,0,0,rally,3_4_early,Zero,0|0,0|0,0|0,6->0,1->0,1,1,1,0,1,1,1,0,1,4,1,1
73,1,2,2,7,6,3,3,1,4,3,4,2,1,3,0,12,0,1,,9,,1,,0,,1,,3,,4,,False,1,0,6,0,1,0,0,0,0,rally,5_8_mid,Defense,12|3,12|0,2|12,1->12,1->3,1,1,1,0,1,2,0,3,1,3,1,1
74,1,2,2,8,5,4,3,0,3,4,4,1,0,0,0,1,0,12,,8,,2,,0,,2,,1,,4,,False,0,1,7,1,1,0,0,0,1,rally,5_8_mid,Attack,1|0,1|0,1|1,12->1,2->0,1,1,1,0,1,2,0,2,1,4,1,1
75,1,2,2,9,8,4,4,1,3,4,4,2,1,3,0,13,0,1,,8,,1,,0,,1,,3,,4,,False,1,0,8,0,1,0,0,0,0,rally,5_8_mid,Defense,13|3,13|0,2|13,1->13,1->3,1,1,1,0,1,3,1,3,1,4,1,1
76,1,2,2,10,2,4,5,1,3,4,2,1,3,1,0,1,1,15,,7,,4,,3,,1,,3,,1,,False,1,-1,9,-1,1,0,0,0,0,receive,2_receive,Attack,1|1,1|0,1|1,15->1,4->1,1,1,1,1,0,1,0,0,1,2,1,1
77,1,2,2,11,7,4,6,0,3,4,4,1,3,1,0,1,0,12,,7,,2,,0,,2,,1,,4,,False,0,-2,10,-1,0,0,0,0,1,rally,5_8_mid,Attack,1|1,1|0,1|1,12->1,2->1,1,1,1,0,1,2,2,2,1,4,1,1
78,1,2,2,12,4,7,4,1,4,3,4,2,0,0,0,10,0,10,,0,,2,,0,,2,,1,,4,,False,1,3,11,1,0,0,0,0,0,rally,3_4_early,Control,10|0,10|0,2|10,10->10,2->0,0,0,1,0,0,0,3,0,1,2,3,3
79,1,2,2,13,6,5,7,1,3,4,4,1,3,1,0,1,0,12,,4,,3,,0,,2,,1,,4,,False,1,-2,12,-1,0,0,0,0,0,rally,5_8_mid,Attack,1|1,1|0,1|1,12->1,3->1,1,1,1,0,1,3,0,2,1,3,1,1
80,1,2,2,14,3,8,5,0,4,3,4,1,1,1,0,1,0,6,,8,,1,,1,,2,,1,,2,,False,0,3,13,1,0,0,0,0,1,rally,3_4_early,Attack,1|1,1|0,1|1,6->1,1->1,1,1,0,1,1,2,0,0,1,3,1,1
81,1,2,2,15,3,6,8,0,3,4,4,1,1,3,0,13,0,1,,8,,1,,3,,1,,3,,2,,False,0,-2,14,-1,0,0,0,0,1,rally,3_4_early,Defense,13|3,13|0,1|13,1->13,1->3,1,1,1,1,0,1,0,1,1,3,1,1
82,1,2,2,16,2,9,6,1,4,3,2,1,1,3,0,8,3,15,,8,,2,,1,,1,,1,,1,,False,1,3,15,1,0,0,0,0,0,receive,2_receive,Control,8|3,8|0,1|8,15->8,2->3,1,1,1,1,0,0,1,0,1,2,1,1
83,1,2,2,17,3,9,7,0,4,3,4,2,2,2,0,12,0,1,,9,,1,,1,,1,,3,,2,,False,0,2,16,1,0,0,0,0,1,rally,3_4_early,Defense,12|2,12|0,2|12,1->12,1->2,1,1,1,1,1,1,0,1,1,3,1,1
84,1,2,2,18,5,9,8,0,4,3,4,1,1,2,0,10,0,10,,8,,2,,0,,2,,1,,4,,False,0,1,17,1,1,0,0,0,1,rally,5_8_mid,Control,10|2,10|0,1|10,10->10,2->2,0,1,0,0,1,1,2,1,1,4,2,2
85,1,2,2,19,4,9,9,1,4,3,4,2,1,3,0,12,0,1,,9,,1,,0,,1,,3,,4,,False,1,0,18,0,1,0,0,0,0,rally,3_4_early,Defense,12|3,12|0,2|12,1->12,1->3,1,1,1,0,1,1,1,1,1,4,1,1
86,1,2,2,20,7,10,9,0,3,4,4,1,1,2,0,11,0,12,,5,,2,,0,,2,,1,,4,,False,0,1,19,1,1,0,1,0,1,rally,5_8_mid,Control,11|2,11|0,1|11,12->11,2->2,1,1,0,0,1,2,2,2,1,5,1,1
87,1,2,2,21,13,10,10,0,4,3,4,1,2,2,0,12,0,1,,8,,1,,0,,1,,3,,4,,False,0,0,20,0,1,1,0,0,1,rally,9plus_late,Defense,12|2,12|0,1|12,1->12,1->2,1,1,1,0,0,5,1,6,1,6,1,1
88,1,2,2,22,3,11,10,0,3,4,4,2,1,3,0,10,0,12,,9,,3,,2,,2,,1,,2,,False,0,1,21,1,1,1,1,0,1,rally,3_4_early,Control,10|3,10|0,2|10,12->10,3->3,1,1,0,1,0,0,1,1,1,3,1,1
89,1,2,2,23,5,11,11,0,4,3,4,2,1,2,0,12,0,1,,9,,1,,0,,1,,3,,4,,False,0,0,22,0,1,1,0,0,1,rally,5_8_mid,Defense,12|2,12|0,2|12,1->12,1->2,1,1,1,0,1,2,0,2,1,4,1,1
90,1,2,2,24,9,12,11,0,3,4,4,1,3,1,0,1,0,12,,8,,3,,0,,1,,1,,4,,False,0,1,23,1,1,1,1,0,1,rally,9plus_late,Attack,1|1,1|0,1|1,12->1,3->1,1,1,1,0,0,4,1,3,1,4,1,1
91,1,2,2,25,13,12,12,0,4,3,4,1,3,1,0,2,0,1,,7,,1,,0,,1,,3,,4,,False,0,0,24,0,1,1,0,0,1,rally,9plus_late,Attack,2|1,2|0,1|2,1->2,1->1,1,1,0,0,0,6,2,4,1,5,1,1
92,1,2,2,26,10,12,13,1,4,3,4,1,1,3,0,14,0,1,,7,,1,,0,,1,,1,,4,,False,1,-1,25,-1,1,1,0,1,0,rally,9plus_late,Defense,14|3,14|0,1|14,1->14,1->3,1,1,1,0,0,6,0,3,1,5,1,1
93,1,2,3,1,5,0,0,0,3,4,4,1,2,1,0,1,0,12,,7,,2,,0,,2,,1,,4,,False,0,0,0,0,1,0,0,0,1,rally,5_8_mid,Attack,1|1,1|0,1|1,12->1,2->1,1,1,1,0,1,2,1,1,1,4,1,1
94,1,2,3,2,10,1,0,1,4,3,4,2,1,3,0,12,0,10,,8,,2,,0,,1,,1,,4,,False,1,1,1,1,1,0,0,0,0,rally,9plus_late,Defense,12|3,12|0,2|12,10->12,2->3,1,1,1,0,1,1,3,5,1,4,1,1
95,1,2,3,3,4,1,1,1,3,4,4,1,3,1,0,1,0,12,,8,,3,,0,,1,,1,,4,,False,1,0,2,0,1,0,0,0,0,rally,3_4_early,Attack,1|1,1|0,1|1,12->1,3->1,1,1,1,0,0,2,0,1,1,3,1,1
96,1,2,3,4,2,1,2,1,3,4,2,1,1,2,0,10,1,15,,5,,5,,3,,1,,1,,1,,False,1,-1,3,-1,1,0,0,0,0,receive,2_receive,Control,10|2,10|0,1|10,15->10,5->2,1,1,1,1,0,0,1,0,1,2,1,1
97,1,2,3,5,3,1,3,0,3,4,4,2,1,3,0,13,0,1,,9,,1,,2,,1,,3,,2,,False,0,-2,4,-1,0,0,0,0,1,rally,3_4_early,Defense,13|3,13|0,2|13,1->13,1->3,1,1,1,1,1,1,0,1,1,3,1,1
